comment,num_of_likes
Hi there! Good explanation and amazing project. Can I know what model you trained in this project?,2
What are all the challenges that you faced during your project. Can you explain. Thank you in advance.,1
what is the purpose of this video?,0
"sir , the user has to upload the dataset? or the admin",0
What is the unit/quantity of area and production in data set?,0
Can i learn this project,0
Sir which tool you used to write code in this project,0
I just wanted to ask from where did you find the dataset?,0
"Sir...If the input values (like state name,crop year etc) that you have taken from your database aren't present in your database and want to predict then the system will  predict correctly or not?",0
"Where can i get the dataset, plz help me with this",0
