Comment,Sentiment
"I’m watching this video today , might be super late for others but very excited to see what impact python will have on my work and creativity 

Thank you Jesus for this video and this revelation",Neutral Review
"I am brand new at this. I know absolutely zero about Python and coding, but I am so excited about learning. Thank you for sharing your knowledge with everyone. I’ve subscribed to your channel just because the comments are so impressive.",Neutral Review
Mosh what is your choice? Python or java,Negative Review
"Im new to programming, started 2025 im going to master the python.",Neutral Review
good lesson,Neutral Review
ok,Positive Review
Great video! Thanks for sharing.,Neutral Review
Top quality! No wonder it's so popular.,Positive Review
Deserves so many views! Great content!,Neutral Review
Figuring out to buy the book ...😊,Positive Review
Deserves so many views! Great content!,Neutral Review
"All I heard is blah blah blah, NOT software developers.",Positive Review
Great video! Thanks for sharing.,Neutral Review
"Plesse i have no idea how it works but is it corect?


y_asym1 = np.where(np.sin(t) >= 0, b_top * np.sin(t), b_bottom1 * np.sin(t))
y_asym2 = np.where(np.sin(t) >= 0, b_top * np.sin(t), b_bottom2 * np.sin(t))

plt.figure(figsize=(10, 6))
plt.plot(x, y_asym1, label=f'b_unten = {b_bottom1}')
plt.plot(x, y_asym2, label=f'b_unten = {b_bottom2}')
plt.axhline(0, color='gray', linestyle='--')
plt.axvline(0, color='gray', linestyle='--')

# Achsenverhältnis und Titel
plt.gca().set_aspect('equal', adjustable='datalim')
plt.title('Asymmetrische Ellipsen')
plt.legend()
plt.show()",Positive Review
How to do coading,Positive Review
"Python is a high-level, interpreted programming language known for its simplicity and readability. It is widely used for various applications, including web development, data science, automation, artificial intelligence read more https://newarticlemy.blogspot.com/2025/02/what-is-python.html",Negative Review
,Positive Review
"This video was quite informative, thank you!",Neutral Review
"damn i was gonna write a python script , but i thrink i write a chatgpt script to write a python script",Negative Review
There is only one reason to learn python: the computing job market and ecosphere demands it. Python became important not because it's better or easier than other languages (it's objectively the poor cousin to most serious languages) but because it was sold as simple to learn and powerful and that led to wide adoption and a rapid expansion of tools and libraries that allowed for lazy programming. Embrace it by all means but it's the computer language world equivalent of Windoze - a poor product well sold.,Positive Review
"🗿
<(>",Positive Review
Bode Wells,Positive Review
830 Desmond Wall,Positive Review
Reynolds Junction,Positive Review
Pacocha Falls,Positive Review
"Thankyou for the info. man, indeed helped! Means a lot ❤",Neutral Review
"The python codes i've learned: my_age = 23
legal_age = 21
if my_age >= legal_age:
  print(""You can have a beer!"")
else:
  print(""Unlucky."")my_age = 20
legal_age = 18
if my_age >= legal_age:
  ???(""Enjoy the ride!"")",Positive Review
I'm watching this after studying completely unrelated to the subject.,Negative Review
Cool,Neutral Review
lol,Positive Review
cool video),Neutral Review
